HIP_ID,RA_deg,DEC_deg,V_mag,Parallax,pmRA,pmDE
13914,44.8030237,21.34042885,4.630000114440918,11.149999618530273,-13.04,-6.55
18216,58.42792843,-24.61222998,4.639999866485596,8.460000038146973,30.93,-7.18
22845,73.72386617,10.1508331,4.639999866485596,27.040000915527344,40.08,-128.37
12719,40.86296995,27.70714655,4.650000095367432,8.819999694824219,3.51,-9.97
21273,68.46215732,14.84442444,4.650000095367432,21.389999389648438,103.69,-25.94
23607,76.14228959,15.40410527,4.650000095367432,8.149999618530273,18.4,-30.99
27890,88.52522878,-63.08962721,4.650000095367432,36.66999816894531,120.11,573.43
5571,17.8634175,21.03465004,4.659999847412109,7.420000076293945,41.66,-10.55
8497,27.39626131,-10.68641035,4.659999847412109,42.349998474121094,-148.9,-94.47
5742,18.4372798,24.58371315,4.670000076293945,8.640000343322754,18.58,-21.26
16244,52.34187591,49.50894827,4.670000076293945,5.840000152587891,22.16,-29.18
19811,63.72215672,40.48367149,4.670000076293945,5.199999809265137,9.72,-21.58
21683,69.81875764,15.91797673,4.670000076293945,20.510000228881836,82.4,-19.53
7294,23.48282037,59.23204031,4.679999828338623,15.960000038146973,-43.06,-23.18
8928,28.73388091,-67.6473033,4.679999828338623,15.039999961853027,76.0,73.17
9677,31.12266035,-29.2968189,4.679999828338623,9.029999732971191,12.56,8.54
13879,44.69029205,39.66272854,4.679999828338623,10.020000457763672,25.88,-40.67
20732,66.65155089,14.71378193,4.690000057220459,7.170000076293945,-7.57,-31.15
24813,79.78531028,40.0990515,4.690000057220459,79.08000183105469,519.39,-664.79
24927,80.11216036,-21.23976341,4.699999809265137,7.110000133514404,10.78,-9.91
13954,44.92875737,8.90736485,4.710000038146973,7.690000057220459,9.22,-14.92
16245,52.3444899,-62.93752748,4.710000038146973,46.650001525878906,383.05,373.11
22667,73.13317557,14.25064185,4.710000038146973,6.019999980926514,-2.62,-56.13
23693,76.37773246,-57.47270388,4.710000038146973,85.83000183105469,-31.87,117.42
25737,82.43325693,-1.09223896,4.710000038146973,7.150000095367432,0.19,-26.08
25984,83.18197064,32.19202168,4.710000038146973,0.800000011920929,-1.81,-4.0
6692,21.48342387,68.13001258,4.71999979019165,16.889999389648438,75.07,26.82
25044,80.44061639,-0.38246516,4.71999979019165,2.5299999713897705,0.45,1.67
27639,87.76015574,37.30557296,4.71999979019165,6.860000133514404,36.96,-44.76
11313,36.40592791,50.278631,4.730000019073486,9.460000038146973,23.79,-14.35
2505,7.94316214,54.52228873,4.739999771118164,9.199999809265137,40.78,-14.81
6193,19.86664622,27.26405858,4.739999771118164,10.489999771118164,26.21,-11.62
11783,38.02178461,-15.2446768,4.739999771118164,38.72999954223633,-80.92,-146.84
12413,39.94996945,-42.89166991,4.739999771118164,25.149999618530273,92.11,-15.07
15520,49.99696958,65.65229236,4.739999771118164,4.070000171661377,11.27,-14.32
16341,52.65440695,-5.07514548,4.739999771118164,8.569999694824219,13.31,7.34
2472,7.85408632,-48.80351439,4.760000228881836,18.969999313354492,140.74,19.47
13244,42.61858328,-75.06694714,4.760000228881836,9.920000076293945,-33.95,-27.18
13288,42.7596731,-21.00401932,4.760000228881836,17.850000381469727,-39.0,-16.63
27750,88.11016089,1.85513381,4.760000228881836,2.930000066757202,-7.09,-9.91
3455,11.04750551,-10.60955044,4.769999980926514,15.539999961853027,-6.96,-113.88
14382,46.38504744,56.70571907,4.769999980926514,15.949999809265137,-13.49,70.34
26563,84.72117914,-7.21282887,4.769999980926514,21.239999771118164,-15.0,-49.55
122,0.39876554,-77.06572447,4.78000020980835,14.770000457763672,-56.52,-176.95
4147,13.2520596,-1.14426019,4.78000020980835,6.28000020980835,6.49,-16.29
9977,32.12191579,37.8590773,4.78000020980835,16.479999542236328,154.22,-43.64
17587,56.50971428,63.34504728,4.78000020980835,4.079999923706055,-0.94,-8.41
21029,67.64013694,16.19401446,4.78000020980835,22.540000915527344,104.98,-25.14
23231,74.98223836,-12.53741569,4.78000020980835,11.210000038146973,40.37,-86.89
26199,83.76117307,-6.00202702,4.78000020980835,1.75,0.59,0.68
1168,3.65068528,20.20670177,4.789999961853027,10.010000228881836,90.66,1.88
9153,29.48215492,23.59606098,4.789999961853027,24.489999771118164,-91.51,-14.45
22678,73.15825132,36.70318691,4.789999961853027,5.809999942779541,-25.97,-3.89
3300,10.51623134,50.51252576,4.800000190734863,2.940000057220459,12.32,-6.48
4151,13.267486,61.12396986,4.800000190734863,53.849998474121094,-68.45,169.72
15197,48.95843559,-8.81972986,4.800000190734863,27.18000030517578,-3.82,45.52
